scope,layer,seed,method,config_exists,config_sha256
main,17,42,B0,True,34301b06b253874c1dcd5ce7b7be147c7f75be42537d7d7a033cb68f716c0e9e
main,17,42,B0_SPARSE,True,4bbd2c46418354de9d25f5a96879c9d0266d402a161ba08d19b9c309432996d8
main,17,42,B0_LAER,True,47fb7a4b598927ae4f91bd9a1e41e6dc5d2c2d57b0880187ebde6c97c1e007ed
main,17,42,B0_SHUFFLED_LAER,True,3fe03adf5a2f00270a01dd579e14f2c435e0ef0ef427844697c8eed7335ff4d6
main,17,43,B0,True,2a447cec44c81f776d0ee3fa30ff244457401d736dad05e6653c91849b925fe7
main,17,43,B0_SPARSE,True,90d5d2122efc1332cd090d04770d213ee694074c6e88b9f53e538ccc469306cf
main,17,43,B0_LAER,True,b7813dd0ad3661a93155fee41cff66f8047844c16371aaaddcfbcd6a505a6f51
main,17,43,B0_SHUFFLED_LAER,True,ab6e154f08132d223ad85addbfad495fe4f77ce0dd93db4aeb3bd323557f3f10
main,17,44,B0,True,dd16f4349f086e857ba223df30b1a12746bfaa78ac11419060368c5fc3bb2415
main,17,44,B0_SPARSE,True,d2706f865bb5444d6e309e4bed99f18968e1b45dd84436a1be3f26dbcfc588eb
main,17,44,B0_LAER,True,e3ff4ea350142637e3a288b88015f4f70f53e63947eb5ea76616a584b9b6f67e
main,17,44,B0_SHUFFLED_LAER,True,923007168d03042192b8b4a5a4ae0c3a0319bd6aebbf721ec15fe557a4eda6d8
robustness,11,42,B0,True,4fbd1a8816c1d7e5480dc0ac3944148efa1ca1899451fa15284d6e1f0ed09202
robustness,11,42,B0_SPARSE,True,1c695536ceb9e6d08b627cc7bb1ad29f4ae95f2be341d8c1747ef13a5e17c22c
robustness,11,42,B0_LAER,True,e48d5cfd56266d76b41ffebdd765b9851eac701e8f852e913d7c7b87b62f2bf9
robustness,11,42,B0_SHUFFLED_LAER,True,d106b3faba781639ad5e36f693e00fb20419469c43a045ace83d5e48586614e4
robustness,19,42,B0,True,4cbef54e8dd031074d3628e706fc5c7f8db8b5a90bbf466af397debb4aa0bccf
robustness,19,42,B0_SPARSE,True,30b5668e6806d7b243d95de20dd844101b049ef63354b60ff768492105638518
robustness,19,42,B0_LAER,True,9dba128270e0af2d07e45be84368b0881014dd349ec24f190dafe706fa97377c
robustness,19,42,B0_SHUFFLED_LAER,True,c1722af5eab7475bf623f11f61865160278ff9901398ff9e7f328b881eb3e10e
