scope,layer,seeds,method,prompt_runs,token_accuracy,bleu
main,17,"42,43,44",B0,300,0.8381742904947165,0.649033809441428
main,17,"42,43,44",B0_SPARSE,300,0.8680636787812626,0.7137635150219137
main,17,"42,43,44",B0_LAER,300,0.867192425938408,0.7111390418534494
main,17,"42,43,44",B0_SHUFFLED_LAER,300,0.8578690413721519,0.6921627391584685
robustness,11,42,B0,100,0.7837544561039621,0.6116115970949696
robustness,11,42,B0_SPARSE,100,0.8236995639373231,0.6846160704836379
robustness,11,42,B0_LAER,100,0.8215233237791463,0.6817910395227073
robustness,11,42,B0_SHUFFLED_LAER,100,0.8161595913870484,0.6636097226037989
robustness,19,42,B0,100,0.8346510052086744,0.6374169351354686
robustness,19,42,B0_SPARSE,100,0.8592149150813762,0.6937784815841462
robustness,19,42,B0_LAER,100,0.8587240620844716,0.6888549485388726
robustness,19,42,B0_SHUFFLED_LAER,100,0.8497569727705516,0.6713731931482947
