seed,method,token_accuracy,bleu,sample_count
45,B0,0.837218403447694,0.646545448483942,150
46,B0,0.8216609849921949,0.6227111392911596,150
47,B0,0.8343160532235797,0.6439663156164595,150
45,B0V,0.8328526075480002,0.6396016932831856,150
46,B0V,0.8308552305257848,0.6400461553469127,150
47,B0V,0.8268466510513891,0.6383360174919765,150
45,SPARSE_FIXED,0.8340948450905679,0.6383612238313822,150
46,SPARSE_FIXED,0.8345912416640902,0.6405985503410037,150
47,SPARSE_FIXED,0.8277999842872317,0.6349910563225921,150
45,RAP_FINAL,0.8328526075480002,0.6396016932831856,150
46,RAP_FINAL,0.8314901511607055,0.6414577469058492,150
47,RAP_FINAL,0.8268466510513891,0.6383360174919765,150
45,SHUFFLED_REL,0.8328526075480002,0.6396016932831856,150
46,SHUFFLED_REL,0.8314901511607055,0.6414577469058492,150
47,SHUFFLED_REL,0.8268466510513891,0.6383360174919765,150
